accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.9759,0.1146,0,1,True,True,216735,63,20,"(4, 4)","(2, 2)",max,31
0.8917,0.412,0,1,True,True,84497,66,25,"(3, 3)","(4, 4)",average,13
0.8248,0.6717,0,1,True,False,142315,63,45,"(2, 2)","(4, 4)",average,34
0.7354,0.9684,0,1,True,False,839141,52,82,"(2, 2)","(2, 2)",max,43
0.9666,0.16,0,1,True,True,268239,111,14,"(4, 4)","(2, 2)",average,60
0.9478,0.1967,0,1,True,True,1180798,69,87,"(2, 2)","(2, 2)",average,34
0.9616,0.1473,10,1,True,True,862513,109,97,"(2, 2)","(3, 3)",max,16
0.6738,1.0094,0,1,True,False,80002,46,65,"(4, 4)","(5, 5)",max,62
0.4275,2.0525,0,1,True,False,331967,26,74,"(5, 5)","(2, 2)",max,41
0.9267,0.2818,0,1,True,True,138009,109,15,"(4, 4)","(3, 3)",average,61
0.9748,0.1067,0,1,True,True,153851,100,58,"(5, 5)","(5, 5)",max,22
0.9725,0.113,0,1,True,True,1318967,121,64,"(5, 5)","(2, 2)",average,27
0.8769,0.438,0,1,True,True,155503,72,84,"(2, 2)","(5, 5)",max,9
0.975,0.1125,9,1,True,True,982033,129,93,"(4, 4)","(3, 3)",average,13
0.9494,0.2226,0,1,True,True,37701,92,10,"(4, 4)","(4, 4)",max,45
0.7934,0.7821,0,1,True,False,7574,35,1,"(5, 5)","(2, 2)",average,53
0.4145,2.1952,0,1,True,False,138827,23,89,"(5, 5)","(3, 3)",average,66
0.9613,0.1706,0,1,True,True,133199,57,28,"(4, 4)","(3, 3)",max,37
0.8102,0.6706,10,1,True,True,25643,20,15,"(3, 3)","(3, 3)",max,1
0.9356,0.298,0,1,True,True,163675,98,20,"(3, 3)","(3, 3)",max,58
0.4805,1.6195,0,1,True,False,200735,53,76,"(2, 2)","(4, 4)",average,63
0.888,0.4625,0,1,True,False,1875717,106,90,"(2, 2)","(2, 2)",average,67
0.9414,0.2415,0,1,True,True,55463,39,7,"(3, 3)","(2, 2)",average,6
0.7191,0.9106,0,1,True,False,30919,21,36,"(5, 5)","(4, 4)",max,28
0.616,1.3292,0,1,True,False,517486,37,71,"(2, 2)","(2, 2)",max,43
0.8751,0.4796,0,1,True,True,258015,117,44,"(2, 2)","(4, 4)",average,40
0.9711,0.1345,6,1,False,True,870275,73,70,"(4, 4)","(2, 2)",max,3
0.9376,0.2534,0,1,True,True,670085,68,50,"(2, 2)","(2, 2)",average,17
0.9087,0.3153,0,1,True,True,36683,92,14,"(3, 3)","(5, 5)",max,21
0.955,0.192,9,1,True,True,741404,71,53,"(2, 2)","(2, 2)",max,4
0.8774,0.4881,0,1,True,True,240048,102,47,"(2, 2)","(4, 4)",average,29
0.4805,1.731,0,1,True,False,56853,25,45,"(2, 2)","(4, 4)",max,53
0.8761,0.5118,0,1,True,False,60191,64,11,"(3, 3)","(3, 3)",max,66
0.9779,0.1008,7,1,False,True,303612,126,65,"(4, 4)","(4, 4)",max,1
0.8933,0.3802,0,1,True,True,91352,41,85,"(3, 3)","(5, 5)",max,15
0.6905,1.0452,0,1,True,False,8819,32,6,"(5, 5)","(4, 4)",max,70
0.464,1.668,0,1,True,False,79955,38,80,"(3, 3)","(5, 5)",max,54
0.7618,0.7691,0,1,True,False,52907,70,28,"(3, 3)","(5, 5)",average,29
0.9576,0.1698,0,1,True,True,136977,53,31,"(4, 4)","(3, 3)",max,20
0.8348,0.5997,0,1,True,False,79931,37,26,"(2, 2)","(3, 3)",average,16
0.9597,0.1699,0,1,True,True,121858,97,47,"(5, 5)","(5, 5)",max,20
0.6266,1.2509,0,1,True,False,15563,107,4,"(3, 3)","(5, 5)",average,68
0.9697,0.1483,0,1,True,True,102134,69,55,"(5, 5)","(5, 5)",max,19
0.9608,0.1603,0,1,True,True,808191,103,96,"(3, 3)","(3, 3)",max,40
0.8836,0.4231,0,1,True,True,68493,80,10,"(2, 2)","(3, 3)",average,18
0.9662,0.1435,0,1,True,True,906811,113,98,"(4, 4)","(3, 3)",average,36
0.7081,0.964,0,1,True,False,107069,56,74,"(2, 2)","(5, 5)",average,6
0.9627,0.1538,0,1,True,True,675996,87,95,"(3, 3)","(3, 3)",average,17
0.8986,0.3614,0,1,True,True,26509,82,11,"(3, 3)","(5, 5)",max,32
0.9207,0.3574,0,1,True,False,551627,96,88,"(5, 5)","(3, 3)",max,58
0.8059,0.6903,0,1,True,False,98987,44,86,"(3, 3)","(5, 5)",max,49
0.9703,0.1327,9,1,True,True,121879,103,31,"(5, 5)","(4, 4)",max,9
0.6383,1.3909,0,1,True,False,568347,36,92,"(5, 5)","(2, 2)",average,66
0.6791,1.0738,0,1,True,False,287371,46,76,"(3, 3)","(3, 3)",max,39
0.8926,0.4228,0,1,True,True,61755,94,24,"(4, 4)","(5, 5)",average,42
0.8381,0.5061,0,1,True,False,113051,83,52,"(3, 3)","(5, 5)",max,48
0.8142,0.6829,0,1,True,False,5775,21,8,"(5, 5)","(5, 5)",max,24
0.8667,0.4908,0,1,True,True,14047,41,8,"(4, 4)","(4, 4)",average,9
0.959,0.1689,0,1,True,True,461067,112,24,"(5, 5)","(2, 2)",average,43
0.8412,0.5798,0,1,True,True,77355,30,92,"(5, 5)","(5, 5)",average,8
0.8755,0.5091,0,1,True,False,75536,59,47,"(5, 5)","(5, 5)",max,57
0.8949,0.4003,0,1,True,True,198805,118,65,"(3, 3)","(5, 5)",average,31
0.8778,0.4963,0,1,True,False,136283,38,18,"(3, 3)","(2, 2)",max,30
0.7754,0.7336,8,1,False,True,94999,40,92,"(2, 2)","(5, 5)",max,0
0.852,0.5807,0,1,True,False,146797,85,46,"(4, 4)","(4, 4)",average,53
0.8434,0.5992,0,1,True,False,50279,95,19,"(4, 4)","(5, 5)",average,54
0.9604,0.1782,0,1,True,True,186677,77,14,"(5, 5)","(2, 2)",average,41
0.9642,0.1482,10,1,True,True,288274,58,29,"(4, 4)","(2, 2)",max,8
0.5872,1.3112,0,1,True,False,9831,28,12,"(2, 2)","(5, 5)",max,41
0.3253,2.4556,0,1,True,False,98033,19,62,"(3, 3)","(3, 3)",max,66
0.4787,1.6719,0,1,True,False,235004,14,85,"(2, 2)","(2, 2)",average,12
0.5746,1.3937,0,1,True,False,51043,55,35,"(2, 2)","(5, 5)",max,66
0.8885,0.4302,8,1,False,True,42242,71,15,"(4, 4)","(4, 4)",average,0
0.8357,0.6098,0,1,True,False,121999,88,53,"(3, 3)","(5, 5)",average,42
0.9777,0.0972,0,1,True,True,304902,90,41,"(4, 4)","(3, 3)",max,13
0.5216,1.6055,0,1,True,False,110000,36,37,"(2, 2)","(3, 3)",average,56
0.7294,0.9706,0,1,True,False,56639,32,63,"(5, 5)","(5, 5)",average,25
0.9368,0.3086,0,1,True,True,180847,94,29,"(5, 5)","(3, 3)",average,64
0.9498,0.2005,0,1,True,True,271703,107,98,"(4, 4)","(5, 5)",max,33
0.7357,0.9577,0,1,True,False,199353,39,62,"(3, 3)","(3, 3)",average,32
0.9188,0.3055,0,1,True,True,235281,115,78,"(5, 5)","(5, 5)",average,33
0.9003,0.4195,0,1,True,False,59411,40,38,"(5, 5)","(4, 4)",max,36
0.8263,0.6595,0,1,True,False,18371,22,4,"(3, 3)","(2, 2)",max,6
0.9323,0.2976,0,1,True,True,75959,74,5,"(3, 3)","(2, 2)",average,46
0.4459,1.7931,0,1,True,False,13999,14,23,"(5, 5)","(4, 4)",average,51
0.9339,0.2658,0,1,True,True,490199,99,25,"(3, 3)","(2, 2)",max,40
0.9454,0.2848,0,1,True,True,2257298,116,99,"(2, 2)","(2, 2)",average,59
0.9738,0.1066,0,1,True,True,109103,95,30,"(5, 5)","(4, 4)",max,18
0.884,0.5095,0,1,True,False,180023,80,85,"(5, 5)","(5, 5)",max,58
0.4733,1.8378,0,1,True,False,185057,24,94,"(2, 2)","(3, 3)",average,64
0.9523,0.2257,0,1,True,True,172143,123,8,"(4, 4)","(2, 2)",max,70
0.9769,0.1104,6,1,False,True,1775603,96,94,"(3, 3)","(2, 2)",max,8
0.8794,0.4497,0,1,True,True,20778,22,33,"(4, 4)","(5, 5)",max,10
0.9113,0.344,0,1,True,True,26183,115,5,"(5, 5)","(4, 4)",max,68
0.6861,1.0705,0,1,True,False,10586,62,5,"(2, 2)","(5, 5)",average,35
0.9555,0.2255,0,1,True,True,549427,73,44,"(5, 5)","(2, 2)",max,49
0.8757,0.484,0,1,True,False,15207,66,5,"(5, 5)","(4, 4)",max,59
0.9034,0.4086,0,1,True,True,70043,20,20,"(5, 5)","(2, 2)",average,21
0.9754,0.1093,0,1,True,True,170246,89,11,"(5, 5)","(2, 2)",max,29
0.7492,0.8509,0,1,True,False,40508,60,25,"(2, 2)","(5, 5)",average,12
0.9419,0.2299,0,1,True,True,211415,120,67,"(5, 5)","(5, 5)",max,55
0.9304,0.3103,0,1,True,True,50963,92,3,"(5, 5)","(2, 2)",max,68
0.9543,0.219,0,1,True,True,39577,46,22,"(4, 4)","(4, 4)",max,25
0.7516,0.8322,0,1,True,False,243235,33,90,"(2, 2)","(3, 3)",average,14
0.9604,0.1829,0,1,True,True,346533,86,49,"(3, 3)","(3, 3)",max,39
0.9734,0.1152,8,1,False,True,675923,92,43,"(5, 5)","(2, 2)",average,10
0.9063,0.361,0,1,True,True,37927,79,17,"(4, 4)","(5, 5)",max,53
0.9621,0.1545,0,1,True,True,202286,57,43,"(3, 3)","(3, 3)",max,16
0.9322,0.3121,0,1,True,True,294947,44,39,"(5, 5)","(2, 2)",max,44
0.9712,0.1209,8,1,True,True,894211,114,96,"(3, 3)","(3, 3)",max,11
0.7526,0.7948,0,1,True,False,203141,89,89,"(2, 2)","(5, 5)",average,35
0.9651,0.1565,10,1,True,True,77283,94,12,"(5, 5)","(3, 3)",average,8
0.9368,0.2373,10,1,True,True,257447,86,60,"(2, 2)","(4, 4)",max,7
0.9345,0.2764,0,1,True,True,8271,26,7,"(5, 5)","(4, 4)",max,3
0.6333,1.2138,0,1,True,False,65466,27,29,"(3, 3)","(3, 3)",average,60
0.9289,0.2843,0,1,True,True,318911,55,88,"(5, 5)","(3, 3)",average,18
0.4489,1.8276,0,1,True,False,23726,25,11,"(3, 3)","(3, 3)",average,70
0.9717,0.125,0,1,True,True,384476,83,27,"(5, 5)","(2, 2)",average,24
0.5396,1.6086,0,1,True,False,4673,22,2,"(4, 4)","(3, 3)",max,47
0.9614,0.1911,0,1,True,True,408843,67,93,"(5, 5)","(3, 3)",max,48
0.9679,0.1221,8,1,False,True,249295,99,96,"(5, 5)","(5, 5)",max,5
0.6572,1.1351,0,1,True,False,143663,19,92,"(2, 2)","(3, 3)",average,5
0.9741,0.1287,0,1,True,True,309947,56,84,"(5, 5)","(3, 3)",max,34
0.8851,0.429,0,1,True,True,125513,58,82,"(4, 4)","(5, 5)",average,35
0.9306,0.2689,0,1,True,True,32279,92,12,"(4, 4)","(5, 5)",max,37
0.972,0.1433,0,1,True,True,1564682,101,91,"(5, 5)","(2, 2)",max,37
0.9444,0.2292,0,1,True,True,74675,76,19,"(3, 3)","(4, 4)",max,36
0.8227,0.6134,0,1,True,True,23638,73,11,"(3, 3)","(5, 5)",average,21
0.827,0.6636,0,1,True,False,610289,49,73,"(4, 4)","(2, 2)",max,63
0.4503,1.8708,0,1,True,False,54966,24,59,"(4, 4)","(4, 4)",average,62
0.9723,0.1388,0,1,True,True,1057099,124,50,"(5, 5)","(2, 2)",average,54
0.9277,0.2722,10,1,True,True,230441,100,46,"(2, 2)","(4, 4)",max,4
0.7713,0.8628,0,1,True,False,133119,38,91,"(5, 5)","(4, 4)",average,26
0.7671,0.8824,0,1,True,False,289736,47,75,"(3, 3)","(3, 3)",average,55
0.9309,0.2676,0,1,True,True,334757,50,39,"(5, 5)","(2, 2)",average,38
0.8359,0.6553,0,1,True,False,104917,42,66,"(4, 4)","(4, 4)",average,32
0.9207,0.3248,0,1,True,True,16383,19,12,"(5, 5)","(3, 3)",max,28
0.4325,1.7794,0,1,True,False,93919,39,90,"(4, 4)","(5, 5)",average,62
0.8992,0.3672,0,1,True,True,167387,64,52,"(3, 3)","(4, 4)",average,9
0.9279,0.3716,0,1,True,False,201218,62,87,"(4, 4)","(4, 4)",max,58
0.9669,0.149,0,1,True,True,82567,61,16,"(4, 4)","(3, 3)",max,31
0.8933,0.4127,0,1,True,True,18592,41,5,"(3, 3)","(3, 3)",max,36
0.7199,1.0041,0,1,True,False,140089,106,26,"(2, 2)","(4, 4)",average,68
0.5298,1.4486,0,1,True,False,50003,26,72,"(3, 3)","(5, 5)",max,33
0.3407,2.1364,0,1,True,False,48157,18,99,"(3, 3)","(5, 5)",average,32
0.8455,0.5043,0,1,True,True,108545,85,49,"(2, 2)","(5, 5)",max,16
0.8975,0.4193,0,1,True,True,179177,118,58,"(4, 4)","(5, 5)",average,53
0.3184,2.3539,0,1,True,False,46047,21,56,"(4, 4)","(4, 4)",max,30
0.7913,0.6948,0,1,True,False,27278,52,19,"(2, 2)","(5, 5)",max,35
0.9034,0.3641,0,1,True,True,79783,127,23,"(4, 4)","(5, 5)",average,32
0.8453,0.6772,0,1,True,False,329595,60,32,"(5, 5)","(2, 2)",average,65
0.7988,0.6654,0,1,True,True,53243,17,62,"(2, 2)","(4, 4)",max,2
0.9117,0.3855,0,1,True,True,29303,38,11,"(5, 5)","(3, 3)",average,41
0.8348,0.6172,0,1,True,False,668480,84,97,"(4, 4)","(3, 3)",average,59
0.9013,0.4485,0,1,True,False,112540,90,33,"(4, 4)","(4, 4)",average,67
0.5199,1.495,0,1,True,False,7895,23,6,"(2, 2)","(4, 4)",max,39
0.748,0.8157,0,1,True,False,78219,84,35,"(3, 3)","(5, 5)",average,42
0.9319,0.325,0,1,True,False,577991,77,38,"(3, 3)","(2, 2)",max,59
0.9319,0.2595,0,1,True,True,375415,79,58,"(2, 2)","(3, 3)",average,21
0.8283,0.6107,0,1,True,True,52423,61,32,"(3, 3)","(5, 5)",average,21
0.9483,0.211,0,1,True,True,194570,79,49,"(3, 3)","(4, 4)",max,13
0.9121,0.3478,0,1,True,False,877831,127,35,"(3, 3)","(2, 2)",max,70
0.9453,0.2063,0,1,True,True,65445,45,38,"(4, 4)","(4, 4)",max,11
0.955,0.1761,0,1,True,True,1016951,68,76,"(2, 2)","(2, 2)",max,12
0.6998,1.045,0,1,True,False,65959,24,69,"(5, 5)","(4, 4)",max,40
0.9784,0.0983,7,1,False,True,597836,112,65,"(4, 4)","(3, 3)",max,10
0.9688,0.1444,9,1,True,True,40607,121,8,"(4, 4)","(4, 4)",max,3
0.9716,0.1222,0,1,True,True,598541,113,31,"(4, 4)","(2, 2)",average,14
0.907,0.3446,0,1,True,True,66958,50,35,"(4, 4)","(4, 4)",average,16
0.9819,0.0822,8,1,True,True,348527,83,64,"(5, 5)","(3, 3)",max,9
0.7856,0.7412,0,1,True,False,197801,68,78,"(4, 4)","(4, 4)",average,63
0.9697,0.1288,0,1,True,True,223007,119,72,"(4, 4)","(5, 5)",max,25
0.9704,0.1373,0,1,True,True,485987,111,67,"(5, 5)","(3, 3)",max,45
0.8885,0.3987,0,1,True,True,49126,43,41,"(5, 5)","(5, 5)",average,11
0.8379,0.5278,0,1,True,True,60177,60,38,"(2, 2)","(5, 5)",max,19
0.9368,0.2624,0,1,True,True,434084,108,49,"(2, 2)","(3, 3)",average,20
0.9357,0.243,0,1,True,True,86998,99,33,"(3, 3)","(5, 5)",max,29
0.9448,0.2476,0,1,True,True,22327,32,17,"(5, 5)","(4, 4)",max,21
0.9236,0.3285,0,1,True,True,245618,120,55,"(4, 4)","(4, 4)",average,59
0.9191,0.3094,0,1,True,True,205085,96,82,"(4, 4)","(5, 5)",average,15
0.9687,0.148,0,1,True,True,807619,112,88,"(4, 4)","(3, 3)",max,50
0.9402,0.2494,0,1,True,True,114639,39,17,"(4, 4)","(2, 2)",average,24
0.8952,0.3854,0,1,True,True,123294,82,57,"(4, 4)","(5, 5)",average,14
0.9521,0.2095,0,1,True,True,896497,91,50,"(2, 2)","(2, 2)",average,21
0.838,0.5421,0,1,True,True,70607,52,52,"(2, 2)","(5, 5)",max,8
0.9521,0.206,0,1,True,True,430942,89,59,"(3, 3)","(3, 3)",average,34
0.8502,0.6018,0,1,True,False,125289,68,22,"(4, 4)","(3, 3)",max,56
0.8193,0.6533,0,1,True,False,295226,92,39,"(2, 2)","(3, 3)",max,60
0.9413,0.2512,0,1,True,True,201725,30,34,"(2, 2)","(2, 2)",max,11
0.9654,0.1411,0,1,True,True,341751,82,21,"(3, 3)","(2, 2)",average,21
0.703,1.0236,0,1,True,False,110024,36,61,"(2, 2)","(4, 4)",max,44
0.5962,1.2903,0,1,True,False,25757,17,57,"(2, 2)","(5, 5)",max,26
0.796,0.7975,0,1,True,False,185171,59,84,"(4, 4)","(4, 4)",average,44
0.9212,0.3252,0,1,True,True,840836,70,61,"(2, 2)","(2, 2)",average,48
0.8883,0.4049,0,1,True,True,63777,90,26,"(4, 4)","(5, 5)",average,20
0.96,0.2049,0,1,True,True,919045,129,87,"(4, 4)","(3, 3)",max,56
0.1695,2.9243,0,1,True,False,101823,15,80,"(4, 4)","(3, 3)",average,31
0.9576,0.1718,10,1,True,True,137843,104,26,"(3, 3)","(4, 4)",max,15
0.9475,0.1955,10,1,True,True,117359,120,37,"(3, 3)","(5, 5)",max,10
0.8332,0.5921,0,1,True,True,71609,120,22,"(2, 2)","(5, 5)",average,27
0.8349,0.6018,0,1,True,True,31211,16,64,"(5, 5)","(5, 5)",average,10
0.952,0.2102,0,1,True,True,1611431,92,89,"(3, 3)","(2, 2)",average,36
0.9668,0.1454,0,1,True,True,948657,103,54,"(5, 5)","(2, 2)",average,35
0.6894,1.0552,0,1,True,False,27665,93,10,"(3, 3)","(5, 5)",average,69
0.9689,0.1667,0,1,True,True,355559,105,91,"(5, 5)","(4, 4)",max,52
0.6421,1.2163,0,1,True,False,20503,16,44,"(4, 4)","(5, 5)",average,28
0.9723,0.1219,0,1,True,True,360081,97,45,"(4, 4)","(3, 3)",average,16
0.619,1.2404,0,1,True,False,168465,43,78,"(3, 3)","(4, 4)",average,42
0.9648,0.1486,0,1,True,True,64648,87,27,"(5, 5)","(5, 5)",max,10
0.4297,1.8653,0,1,True,False,24473,14,63,"(3, 3)","(5, 5)",average,37
0.9215,0.3261,0,1,True,True,1444891,102,72,"(2, 2)","(2, 2)",average,50
0.8309,0.7296,0,1,True,False,293739,55,81,"(5, 5)","(3, 3)",average,65
0.6952,1.031,0,1,True,False,40235,20,39,"(3, 3)","(4, 4)",max,25
0.9648,0.1618,0,1,True,True,1887848,99,97,"(2, 2)","(2, 2)",average,36
0.8533,0.6205,0,1,True,False,336275,96,94,"(5, 5)","(4, 4)",average,62
0.9479,0.2251,0,1,True,True,221011,92,29,"(3, 3)","(3, 3)",average,38
0.9217,0.3452,0,1,True,True,413983,122,92,"(4, 4)","(4, 4)",average,60
0.9162,0.2995,8,1,False,True,146315,60,94,"(3, 3)","(5, 5)",max,1
0.973,0.1205,0,1,True,True,1330015,115,68,"(4, 4)","(2, 2)",average,38
0.9647,0.1455,0,1,True,True,728151,82,45,"(3, 3)","(2, 2)",average,25
0.9802,0.0999,0,1,True,True,499831,102,75,"(5, 5)","(3, 3)",max,31
0.7384,0.9692,0,1,True,False,139091,42,40,"(3, 3)","(3, 3)",max,58
0.6408,1.1811,0,1,True,False,56735,32,68,"(2, 2)","(5, 5)",average,32
0.8777,0.4425,0,1,True,True,163945,108,30,"(2, 2)","(4, 4)",average,1
0.7033,0.9661,0,1,True,False,21964,30,27,"(2, 2)","(5, 5)",max,25
0.6082,1.3751,0,1,True,False,5191,15,6,"(2, 2)","(4, 4)",max,15
0.9306,0.2833,0,1,True,True,264967,92,77,"(5, 5)","(4, 4)",average,44
0.9617,0.1708,0,1,True,True,260219,94,74,"(5, 5)","(4, 4)",max,30
0.9622,0.1555,0,1,True,True,671875,105,78,"(4, 4)","(3, 3)",average,14
0.9035,0.3788,0,1,True,True,199538,86,89,"(4, 4)","(5, 5)",average,31
0.7124,0.9589,0,1,True,False,41407,16,95,"(3, 3)","(5, 5)",average,3
0.9256,0.3515,0,1,True,False,345467,59,89,"(5, 5)","(3, 3)",average,43
0.6891,1.0545,0,1,True,False,26107,28,32,"(5, 5)","(5, 5)",average,51
0.875,0.4716,0,1,True,True,297479,119,50,"(2, 2)","(4, 4)",average,27
0.6878,1.0622,0,1,True,False,5664,15,11,"(5, 5)","(5, 5)",max,31
0.967,0.1382,10,1,True,True,123950,126,37,"(4, 4)","(5, 5)",max,15
0.5848,1.4962,0,1,True,False,142452,16,45,"(2, 2)","(2, 2)",max,21
0.9242,0.3013,0,1,True,True,131388,93,53,"(5, 5)","(5, 5)",average,8
0.8695,0.5037,0,1,True,False,384451,54,36,"(3, 3)","(2, 2)",max,61
0.9213,0.3122,0,1,True,True,45066,48,11,"(2, 2)","(3, 3)",max,13
0.8741,0.4568,0,1,True,True,107591,43,94,"(4, 4)","(5, 5)",max,28
0.9527,0.197,0,1,True,True,1587923,126,64,"(3, 3)","(2, 2)",average,50
0.9754,0.0988,9,1,True,True,369004,103,97,"(4, 4)","(4, 4)",max,16
0.9205,0.3603,0,1,True,False,847277,86,50,"(2, 2)","(2, 2)",average,61
0.601,1.2442,0,1,True,False,77285,23,66,"(3, 3)","(4, 4)",average,25
0.7513,0.8742,0,1,True,False,6909,72,2,"(4, 4)","(5, 5)",average,24
0.8879,0.465,0,1,True,False,144863,55,100,"(4, 4)","(5, 5)",max,49
0.5805,1.4609,0,1,True,False,79207,30,39,"(5, 5)","(3, 3)",average,59
0.9645,0.1798,0,1,True,True,613911,61,51,"(3, 3)","(2, 2)",max,44
0.6352,1.1827,0,1,True,False,8841,93,2,"(3, 3)","(5, 5)",average,47
0.9072,0.3839,0,1,True,True,269019,112,48,"(2, 2)","(4, 4)",average,31
0.9403,0.2432,9,1,True,True,345377,26,77,"(5, 5)","(2, 2)",average,2
0.8496,0.5905,0,1,True,False,329375,37,52,"(4, 4)","(2, 2)",average,49
0.5904,1.3347,0,1,True,False,314132,23,79,"(5, 5)","(2, 2)",average,57
0.9432,0.2089,0,1,True,True,796743,119,82,"(2, 2)","(3, 3)",max,39
0.9566,0.1555,9,1,True,True,524207,123,52,"(2, 2)","(3, 3)",max,12
0.9227,0.3015,0,1,True,True,275125,102,54,"(2, 2)","(4, 4)",max,23
0.9379,0.2804,0,1,True,True,150641,70,82,"(4, 4)","(5, 5)",max,28
0.9208,0.3034,0,1,True,True,134947,115,44,"(5, 5)","(5, 5)",average,38
0.8891,0.4332,0,1,True,False,492893,50,50,"(2, 2)","(2, 2)",average,52
0.8709,0.4359,0,1,True,True,57527,129,16,"(2, 2)","(5, 5)",max,26
0.905,0.3588,0,1,True,True,95613,57,62,"(5, 5)","(5, 5)",average,10
0.6073,1.2708,0,1,True,False,450779,26,88,"(2, 2)","(2, 2)",max,47
0.8076,0.6932,0,1,True,False,258129,38,82,"(4, 4)","(3, 3)",max,54
0.9366,0.2319,9,1,True,True,294194,78,19,"(2, 2)","(2, 2)",average,4
0.6958,1.0012,0,1,True,False,69087,55,48,"(2, 2)","(5, 5)",max,55
0.8321,0.5845,0,1,True,True,217583,85,100,"(2, 2)","(5, 5)",average,21
0.8091,0.6864,0,1,True,False,20908,34,7,"(2, 2)","(3, 3)",average,13
0.9601,0.1744,7,1,False,True,179684,28,77,"(4, 4)","(3, 3)",max,0
0.7741,0.8658,0,1,True,False,167506,47,95,"(4, 4)","(4, 4)",average,26
0.6645,1.1666,0,1,True,False,8591,59,4,"(2, 2)","(5, 5)",average,47
0.6387,1.2018,0,1,True,False,109227,36,80,"(4, 4)","(4, 4)",max,54
0.8449,0.5452,0,1,True,False,43035,78,20,"(3, 3)","(5, 5)",max,58
0.8544,0.5811,0,1,True,False,201547,36,84,"(5, 5)","(3, 3)",average,57
0.8178,0.6356,0,1,True,False,168535,123,27,"(2, 2)","(4, 4)",average,51
0.7999,0.8003,0,1,True,False,136987,40,68,"(3, 3)","(4, 4)",max,46
0.9379,0.2815,0,1,True,True,643266,64,51,"(2, 2)","(2, 2)",average,44
0.9466,0.2382,0,1,True,True,152601,119,34,"(4, 4)","(4, 4)",max,67
0.9067,0.4263,0,1,True,False,445223,80,85,"(5, 5)","(3, 3)",average,65
0.9539,0.1971,0,1,True,True,324763,100,65,"(3, 3)","(4, 4)",max,27
0.6248,1.3246,0,1,True,False,91845,39,62,"(4, 4)","(4, 4)",max,70
0.9604,0.1693,0,1,True,True,285519,99,35,"(2, 2)","(3, 3)",max,6
0.8942,0.4575,0,1,True,False,243531,108,86,"(5, 5)","(5, 5)",max,67
0.9595,0.1679,0,1,True,True,78995,89,13,"(5, 5)","(3, 3)",average,28
0.838,0.558,0,1,True,True,48427,84,21,"(3, 3)","(5, 5)",average,11
0.9447,0.2291,10,1,True,True,132437,66,10,"(2, 2)","(2, 2)",max,7
0.942,0.2556,0,1,True,True,641687,56,67,"(5, 5)","(2, 2)",max,46
0.84,0.6724,0,1,True,False,14603,68,1,"(5, 5)","(2, 2)",average,69
0.9256,0.2833,0,1,True,True,332570,71,57,"(3, 3)","(3, 3)",average,26
0.6897,1.0263,0,1,True,False,153873,96,62,"(2, 2)","(5, 5)",average,49
0.899,0.3765,0,1,True,True,312935,39,97,"(4, 4)","(3, 3)",average,27
0.9161,0.3338,0,1,True,True,478716,115,21,"(2, 2)","(2, 2)",average,46
0.9689,0.138,0,1,True,True,150471,75,53,"(5, 5)","(4, 4)",max,28
0.9148,0.3444,0,1,True,True,813911,47,88,"(2, 2)","(2, 2)",average,22
0.9664,0.1501,0,1,True,True,445244,104,25,"(4, 4)","(2, 2)",max,57
0.9694,0.1293,5,1,False,True,412053,114,98,"(4, 4)","(4, 4)",max,0
0.9187,0.3428,10,1,True,True,15668,73,1,"(5, 5)","(2, 2)",average,8
0.83,0.6038,0,1,True,False,105563,36,58,"(3, 3)","(4, 4)",average,11
0.9748,0.1129,0,1,True,True,417483,85,75,"(5, 5)","(3, 3)",average,10
0.9136,0.4024,0,1,True,False,226689,72,38,"(4, 4)","(3, 3)",max,64
0.4856,1.6401,0,1,True,False,51017,29,66,"(3, 3)","(5, 5)",average,14
0.8259,0.6455,0,1,True,False,70655,71,37,"(4, 4)","(5, 5)",average,47
0.9694,0.1406,9,1,True,True,329659,68,59,"(3, 3)","(3, 3)",max,8
0.9701,0.128,0,1,True,True,655751,107,31,"(3, 3)","(2, 2)",average,19
0.9418,0.2393,0,1,True,True,261331,87,60,"(3, 3)","(4, 4)",max,36
0.8974,0.4042,0,1,True,False,480179,38,64,"(3, 3)","(2, 2)",average,32
0.9728,0.1226,0,1,True,True,487091,106,56,"(3, 3)","(3, 3)",max,11
0.9284,0.2641,10,1,True,True,78878,115,25,"(5, 5)","(5, 5)",average,5
0.96,0.1549,9,1,False,True,591323,86,84,"(3, 3)","(3, 3)",average,4
0.9716,0.1247,8,1,False,True,293303,113,13,"(3, 3)","(2, 2)",average,11
0.4967,1.8897,0,1,True,False,12575,15,4,"(3, 3)","(2, 2)",average,46
0.9383,0.2475,0,1,True,True,468879,110,52,"(2, 2)","(3, 3)",average,12
0.5714,1.4304,0,1,True,False,97152,27,71,"(3, 3)","(4, 4)",max,39
0.6029,1.4482,0,1,True,False,266661,18,86,"(4, 4)","(2, 2)",average,59
0.8361,0.5702,0,1,True,False,26271,105,8,"(5, 5)","(5, 5)",average,55
0.892,0.4216,0,1,True,True,140677,30,93,"(3, 3)","(4, 4)",average,10
0.8896,0.4587,0,1,True,True,195659,39,100,"(3, 3)","(4, 4)",average,21
