accuracy,loss,acc_convergence,loss_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.9202,0.2959,0,1,True,True,460907,116,80,"(2, 2)","(4, 4)",average,5
0.9046,0.3582,9,1,False,True,105407,35,36,"(4, 4)","(3, 3)",average,0
0.971,0.1326,0,1,True,True,328691,77,65,"(5, 5)","(3, 3)",max,16
0.9679,0.1396,0,1,True,True,1033143,76,69,"(3, 3)","(2, 2)",max,33
0.9066,0.3621,0,1,True,True,107744,74,55,"(4, 4)","(5, 5)",average,17
0.8997,0.3684,0,1,True,True,455756,67,83,"(3, 3)","(3, 3)",average,40
0.919,0.3809,0,1,True,False,245447,104,47,"(3, 3)","(4, 4)",max,61
0.8441,0.6034,0,1,True,False,111439,94,31,"(5, 5)","(4, 4)",average,67
0.957,0.17,0,1,True,True,256695,48,65,"(3, 3)","(3, 3)",max,9
0.9596,0.1658,8,1,False,True,141462,89,19,"(3, 3)","(3, 3)",max,3
0.9746,0.1061,9,1,True,True,207995,104,76,"(5, 5)","(5, 5)",max,10
0.9826,0.0816,0,1,True,True,659471,115,88,"(5, 5)","(3, 3)",max,25
0.9488,0.2121,0,1,True,True,379533,94,81,"(3, 3)","(4, 4)",max,40
0.8643,0.5927,0,1,True,False,77771,28,16,"(4, 4)","(2, 2)",average,32
0.9325,0.2937,0,1,True,True,1817364,120,77,"(2, 2)","(2, 2)",max,47
0.9275,0.3692,0,1,True,False,491511,118,21,"(3, 3)","(2, 2)",average,65
0.8439,0.6407,0,1,True,False,597908,48,73,"(4, 4)","(2, 2)",max,70
0.9152,0.3346,0,1,True,True,22339,84,6,"(5, 5)","(4, 4)",average,20
0.9561,0.2268,0,1,True,True,165351,75,11,"(3, 3)","(2, 2)",max,58
0.9571,0.1843,0,1,True,True,63381,70,33,"(5, 5)","(5, 5)",max,23
0.7971,0.7165,0,1,True,False,97867,55,68,"(3, 3)","(5, 5)",max,51
0.9413,0.292,0,1,True,True,398604,52,93,"(4, 4)","(3, 3)",max,40
0.9355,0.2791,0,1,True,True,109207,37,44,"(5, 5)","(3, 3)",average,36
